exiobase,nace2 section
Mining of aluminium ores and concentrates,Mining and quarrying
Mining of nickel ores and concentrates,Mining and quarrying
Mining of copper ores and concentrates,Mining and quarrying
Mining of uranium and thorium ores (12),Mining and quarrying
Mining of coal and lignite; extraction of peat (10),Mining and quarrying
Quarrying of stone,Mining and quarrying
Other service activities (93),Other service activities
Activities of membership organisation n.e.c. (91),Other service activities
Research and development (73),"Professional, scientific and technical activities"
Business services nec,"Professional, scientific and technical activities"
Public administration and defence; compulsory social security (75),Public administration and defence; compulsory social security
Real estate activities (70),Real estate activities
Sea and coastal water transport,Transportation and storage
Supporting and auxiliary transport activities; activities of travel agencies (63),Transportation and storage
Other land transport,Transportation and storage
Transport via railways,Transportation and storage
Transport via pipelines,Transportation and storage
Air transport (62),Transportation and storage
Inland water transport,Transportation and storage
"Biogasification of food waste, incl. land application","Water supply; sewerage, waste management and remediation activities"
"Biogasification of paper, incl. land application","Water supply; sewerage, waste management and remediation activities"
Landfill of waste: Inert/metal/hazardous,"Water supply; sewerage, waste management and remediation activities"
Landfill of waste: Plastic,"Water supply; sewerage, waste management and remediation activities"
Landfill of waste: Food,"Water supply; sewerage, waste management and remediation activities"
"Biogasification of sewage slugde, incl. land application","Water supply; sewerage, waste management and remediation activities"
"Waste water treatment, other","Water supply; sewerage, waste management and remediation activities"
Incineration of waste: Wood,"Water supply; sewerage, waste management and remediation activities"
"Composting of paper and wood, incl. land application","Water supply; sewerage, waste management and remediation activities"
"Composting of food waste, incl. land application","Water supply; sewerage, waste management and remediation activities"
Landfill of waste: Paper,"Water supply; sewerage, waste management and remediation activities"
Incineration of waste: Textiles,"Water supply; sewerage, waste management and remediation activities"
"Waste water treatment, food","Water supply; sewerage, waste management and remediation activities"
Incineration of waste: Paper,"Water supply; sewerage, waste management and remediation activities"
Incineration of waste: Food,"Water supply; sewerage, waste management and remediation activities"
Landfill of waste: Textiles,"Water supply; sewerage, waste management and remediation activities"
Recycling of waste and scrap,"Water supply; sewerage, waste management and remediation activities"
Incineration of waste: Plastic,"Water supply; sewerage, waste management and remediation activities"
Incineration of waste: Oil/Hazardous waste,"Water supply; sewerage, waste management and remediation activities"
"Collection, purification and distribution of water (41)","Water supply; sewerage, waste management and remediation activities"
Incineration of waste: Metals and Inert materials,"Water supply; sewerage, waste management and remediation activities"
Landfill of waste: Wood,"Water supply; sewerage, waste management and remediation activities"
Retail sale of automotive fuel,Wholesale and retail trade; repair of motor vehicles and motorcycles
"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",Wholesale and retail trade; repair of motor vehicles and motorcycles
"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",Wholesale and retail trade; repair of motor vehicles and motorcycles
"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",Wholesale and retail trade; repair of motor vehicles and motorcycles
