USEPA uuid,"exiobase 3 (flow,context)"
4245d04d-6485-303e-82f1-c0086c0f381f,"('HCH', 'air')"
717ae78f-7a12-3613-a20f-7d7158f0e961,"('HCH', 'air')"
0bd3ed14-b833-3861-8de0-d621c0ebd895,"('HCH', 'air')"
8a677332-e22f-33c0-9f69-d19e7a17a805,"('DDT', 'air')"
59da7a53-2e06-301e-8ca5-e4e2c85fd963,"('DDT', 'air')"
18819e98-6dd1-3a8f-a27a-67ca826f3381,"('PCB', 'air')"
ac0fa9f8-2455-3106-841c-ed7be967c566,"('PCDD/F (dioxins and furans)', 'air')"
5a939c2b-cebf-3060-8862-4a8650caf6dd,"('PM10', 'air')"
02493f33-ffee-3fb6-8508-42de1592015e,"('PAH (total of 4 components, sum of EM_AIR.43, 45, 46, 47)', 'air')"
565c5d1a-1e0e-35f3-82a0-4845c43d3dcf,"('Benzene', 'air')"
457411b2-4dac-3eb2-965d-97b60660afa2,"('1,3 Butadiene', 'air')"
a257b8d3-62dd-37ad-b429-73d96c97165c,"('Formaldehyd', 'air')"
49a9c581-7c83-36b0-b1bd-455ea4c665a6,"('PM2.5', 'air')"
5897de1b-55d8-3fb9-8284-97f0c0bb4b2a,"('Furans', 'air')"
76bd7eb9-a592-319f-9234-9a469de5bd59,"('Benzo-[a]-pyrene', 'air')"
920c61f8-5c4a-3900-b070-9a437d2738b8,"('Benzo-[b]-fluoranthene', 'air')"
e962ef47-cedd-36b6-b962-abacbab62a02,"('Indeno-[1,2,3-cd]-pyrene', 'air')"
28c8bbdf-1a2b-3c96-baf8-d965df47c0c6,"('HCB', 'air')"
d4625608-6ef8-3ce6-bfa4-0f96f3535e23,"('N', 'water')"
27b840cc-1f41-3943-8ea8-6d68b44b7f81,"('BOD', 'water')"
11a87634-d3a9-31a9-bd33-8d60b9f0f4d4,"('N', 'soil')"
a78a16a0-a209-3258-8b1e-851b85786b78,"('P', 'soil')"
db320dbb-61e7-31d0-a289-d65d7ec948cc,"('Cd', 'soil')"
ec1ff388-9bbb-367f-828c-f7b4f7ceaa47,"('Cu', 'soil')"
927b067a-7537-36f6-bad0-ca7b576845fd,"('Zn', 'soil')"
a58c8e84-1ff1-3a64-bf26-567e9bdeb994,"('Pb', 'soil')"
2ae8f50e-97b7-33b5-b936-e1d199425695,"('Hg', 'soil')"
979f30f5-f17e-3091-907f-af1921e7e637,"('Cr', 'soil')"
ade872db-a289-3467-bca5-112f4b96e874,"('Ni', 'soil')"
715541af-f083-3c8e-8820-9119ad5866c5,"('C', 'air')"
