LC-IMPACT_Name,Formula,Radiative Forcing 100(W m-2 yr kg-1),Temperature increase (C/kg),US_EPA_Name
Sulfuryl fluoride,SO2F2,3.76E-10,3.76E-10,Sulfuryl fluoride
PFC-14,CF4,6.08E-10,6.09E-10,Carbon tetrafluoride
PFC-116,C2F6,1.02E-09,1.02E-09,Hexafluoroethane
PFC-c216,c-C3F6,8.44E-10,8.44E-10,-
PFC-218,C3F8,8.16E-10,8.17E-10,Perfluoropropane
PFC-318,c-C4F8,8.75E-10,8.75E-10,Perfluorocyclobutane
PFC-31-10,C4F10,8.44E-10,8.43E-10,Perfluorobutane
Perfluorocyclopentene,c-C5F8,1.71E-13,1.71E-13,-
PFC-41-12,n-C5F12,7.84E-10,7.83E-10,Perfluoropentane
PFC-51-14,n-C6F14,7.26E-10,7.26E-10,Perfluorohexane
PFC-61-16,n-C7F16,7.17E-10,7.16E-10,-
PFC-71-18,C8F18,6.99E-10,7.00E-10,-
PFC-91-18,C10F18,6.59E-10,6.58E-10,Perfluorodecalin
Perfluorodecalin(cis),Z-C10F18,6.64E-10,6.63E-10,-
Perfluorodecalin(trans),E-C10F18,5.77E-10,5.78E-10,-
PFC-1114,CF2=CF2,2.68E-16,2.68E-16,Tetrafluoroethene
PFC-1216,CF3CF=CF2,6.42E-15,6.42E-15,-
"Perfluorobuta-1,3-diene",CF2=CFCF=CF2,3.29E-16,3.29E-16,-
Perfluorobut-1-ene,CF3CF2CF=CF2,8.38E-15,8.38E-15,-
Perfluorobut-2-ene,CF3CF=CFCF3,1.62E-13,1.62E-13,-
HFE-125,CHF2OCF3,1.14E-09,1.14E-09,-
HFE-134 (HG-00),CHF2OCHF2,5.10E-10,5.10E-10,-
HFE-143a,CH3OCF3,4.80E-11,4.80E-11,-
HFE-227ea,CF3CHFOCF3,5.92E-10,5.92E-10,-
HCFE-235ca2(enflurane),CHF2OCF2CHFCl,5.35E-11,5.35E-11,-
HCFE-235da2(isoflurane),CHF2OCHClCF3,4.50E-11,4.50E-11,-
HFE-236ca,CHF2OCF2CHF2,3.89E-10,3.89E-10,-
HFE-236ea2(desflurane),CHF2OCHFCF3,1.64E-10,1.64E-10,-
HFE-236fa,CF3CH2OCF3,8.98E-11,8.98E-11,-
HFE-245cb2,CF3CF2OCH3,6.00E-11,6.00E-11,-
HFE-245fa1,CHF2CH2OCF3,7.59E-11,7.59E-11,-
HFE-245fa2,CHF2OCH2CF3,7.45E-11,7.45E-11,-
"2,2,3,3,3-Pentafluoropropan-1-ol",CF3CF2CH2OH,1.72E-12,1.72E-12,-
HFE-254cb1,CH3OCF2CHF2,2.76E-11,2.76E-11,-
HFE-263fb2,CF3CH2OCH3,1.22E-13,1.22E-13,-
HFE-263m1,CF3OCH2CH3,2.70E-12,2.70E-12,-
"3,3,3-Trifluoropropan-1-ol",CF3CH2CH2OH,3.57E-14,3.57E-14,-
HFE-329mcc2,CHF2CF2OCF2CF3,2.81E-10,2.81E-10,HFE-329mcc2
HFE-338mmz1,(CF3)2CHOCHF2,2.40E-10,2.40E-10,-
HFE-338mcf2,CF3CH2OCF2CF3,8.52E-11,8.52E-11,HFE-338mcf2
Sevoflurane (HFE-347mmz1),(CF3)2CHOCH2F,1.98E-11,1.98E-11,-
HFE-347mcc3 (HFE-7000),CH3OCF2CF2CF3,4.86E-11,4.86E-11,-
HFE-347mcf2,CHF2CH2OCF2CF3,7.83E-11,7.83E-11,HFE-347mcf2
HFE-347pcf2,CHF2CF2OCH2CF3,8.15E-11,8.15E-11,HFE-347pcf2
HFE-347mmy1,(CF3)2CFOCH3,3.33E-11,3.33E-11,-
HFE-356mec3,CH3OCF2CHFCF3,3.55E-11,3.55E-11,HFE-356mec3
HFE-356mff2,CF3CH2OCH2CF3,1.54E-12,1.54E-12,-
HFE-356pcf2,CHF2CH2OCF2CHF2,6.59E-11,6.59E-11,HFE-356pcf2
HFE-356pcf3,CHF2OCH2CF2CHF2,4.09E-11,4.09E-11,HFE-356pcf3
HFE-356pcc3,CH3OCF2CF2CHF2,3.79E-11,3.79E-11,HFE-356pcc3
HFE-356mmz1,(CF3)2CHOCH3,1.25E-12,1.25E-12,-
HFE-365mcf3,CF3CF2CH2OCH3,8.51E-14,8.51E-14,HFE-365mcf3
HFE-365mcf2,CF3CF2OCH2CH3,5.35E-12,5.35E-12,-
HFE-374pc2,CHF2CF2OCH2CH3,5.75E-11,5.75E-11,-
"4,4,4-Trifluorobutan-1-ol",CF3(CH2)2CH2OH,1.73E-15,1.73E-15,-
"2,2,3,3,4,4,5,5-Octafluorocyclopentanol",(CF2)4CH(OH),1.18E-12,1.18E-12,-
