hsut product name,predicate,hiot product name
Secondary glass for treatment; Re-processing of secondary glass into new glass,OWL.SameAs,"Secondary glass for treatment, Re-processing of secondary glass into new glass"
Ceramic goods,OWL.SameAs,Ceramic goods
Bricks; tiles and construction products; in baked clay,OWL.SameAs,"Bricks, tiles and construction products, in baked clay"
Cement; lime and plaster,OWL.SameAs,"Cement, lime and plaster"
Ash for treatment; Re-processing of ash into clinker,OWL.SameAs,"Ash for treatment, Re-processing of ash into clinker"
Other non-metallic mineral products,OWL.SameAs,Other non-metallic mineral products
Basic iron and steel and of ferro-alloys and first products thereof,OWL.SameAs,Basic iron and steel and of ferro-alloys and first products thereof
Secondary steel for treatment; Re-processing of secondary steel into new steel,OWL.SameAs,"Secondary steel for treatment, Re-processing of secondary steel into new steel"
Precious metals,OWL.SameAs,Precious metals
Secondary preciuos metals for treatment; Re-processing of secondary preciuos metals into new preciuos metals,OWL.SameAs,"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals"
Aluminium and aluminium products,OWL.SameAs,Aluminium and aluminium products
Secondary aluminium for treatment; Re-processing of secondary aluminium into new aluminium,OWL.SameAs,"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium"
Lead; zinc and tin and products thereof,OWL.SameAs,"Lead, zinc and tin and products thereof"
Secondary lead for treatment; Re-processing of secondary lead into new lead,OWL.SameAs,"Secondary lead for treatment, Re-processing of secondary lead into new lead"
Copper products,OWL.SameAs,Copper products
Secondary copper for treatment; Re-processing of secondary copper into new copper,OWL.SameAs,"Secondary copper for treatment, Re-processing of secondary copper into new copper"
Other non-ferrous metal products,OWL.SameAs,Other non-ferrous metal products
Secondary other non-ferrous metals for treatment; Re-processing of secondary other non-ferrous metals into new other non-ferrous metals,OWL.SameAs,"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals"
Foundry work services,OWL.SameAs,Foundry work services
Fabricated metal products; except machinery and equipment (28),OWL.SameAs,"Fabricated metal products, except machinery and equipment (28)"
Machinery and equipment n.e.c. (29),OWL.SameAs,Machinery and equipment n.e.c. (29)
Office machinery and computers (30),OWL.SameAs,Office machinery and computers (30)
Electrical machinery and apparatus n.e.c. (31),OWL.SameAs,Electrical machinery and apparatus n.e.c. (31)
Radio; television and communication equipment and apparatus (32),OWL.SameAs,"Radio, television and communication equipment and apparatus (32)"
Medical; precision and optical instruments; watches and clocks (33),OWL.SameAs,"Medical, precision and optical instruments, watches and clocks (33)"
Motor vehicles; trailers and semi-trailers (34),OWL.SameAs,"Motor vehicles, trailers and semi-trailers (34)"
Other transport equipment (35),OWL.SameAs,Other transport equipment (35)
Furniture; other manufactured goods n.e.c. (36),OWL.SameAs,Furniture; other manufactured goods n.e.c. (36)
Secondary raw materials,OWL.SameAs,Secondary raw materials
Bottles for treatment; Recycling of bottles by direct reuse,OWL.SameAs,"Bottles for treatment, Recycling of bottles by direct reuse"
Electricity by coal,OWL.SameAs,Electricity by coal
Electricity by gas,OWL.SameAs,Electricity by gas
Electricity by nuclear,OWL.SameAs,Electricity by nuclear
Electricity by hydro,OWL.SameAs,Electricity by hydro
Electricity by wind,OWL.SameAs,Electricity by wind
Electricity by petroleum and other oil derivatives,OWL.SameAs,Electricity by petroleum and other oil derivatives
Electricity by biomass and waste,OWL.SameAs,Electricity by biomass and waste
Electricity by solar photovoltaic,OWL.SameAs,Electricity by solar photovoltaic
Electricity by solar thermal,OWL.SameAs,Electricity by solar thermal
Electricity by tide; wave; ocean,OWL.SameAs,"Electricity by tide, wave, ocean"
Electricity by Geothermal,OWL.SameAs,Electricity by Geothermal
Electricity nec,OWL.SameAs,Electricity nec
Transmission services of electricity,OWL.SameAs,Transmission services of electricity
Distribution and trade services of electricity,OWL.SameAs,Distribution and trade services of electricity
Coke oven gas,rdfs:subClassOf,Biogas an other gases nec.
Blast Furnace Gas,rdfs:subClassOf,Biogas an other gases nec.
Oxygen Steel Furnace Gas,rdfs:subClassOf,Biogas an other gases nec.
Gas Works Gas,rdfs:subClassOf,Biogas an other gases nec.
Biogas,rdfs:subClassOf,Biogas an other gases nec.
Distribution services of gaseous fuels through mains,OWL.SameAs,Distribution services of gaseous fuels through mains
Steam and hot water supply services,OWL.SameAs,Steam and hot water supply services
Collected and purified water; distribution services of water (41),OWL.SameAs,"Collected and purified water, distribution services of water (41)"
Construction work (45),OWL.SameAs,Construction work (45)
Secondary construction material for treatment; Re-processing of secondary construction material into aggregates,OWL.SameAs,"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates"
Sale; maintenance; repair of motor vehicles; motor vehicles parts; motorcycles; motor cycles parts and accessoiries,OWL.SameAs,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries"
Retail trade services of motor fuel,OWL.SameAs,Retail trade services of motor fuel
Wholesale trade and commission trade services; except of motor vehicles and motorcycles (51),OWL.SameAs,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)"
Retail  trade services; except of motor vehicles and motorcycles; repair services of personal and household goods (52),OWL.SameAs,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)"
Hotel and restaurant services (55),OWL.SameAs,Hotel and restaurant services (55)
Railway transportation services,OWL.SameAs,Railway transportation services
Other land transportation services,OWL.SameAs,Other land transportation services
Transportation services via pipelines,OWL.SameAs,Transportation services via pipelines
Sea and coastal water transportation services,OWL.SameAs,Sea and coastal water transportation services
Inland water transportation services,OWL.SameAs,Inland water transportation services
