HS 2012,SITC Rev. 4,Relationship
8481.2,747.2,1:1
8481.3,747.3,1:1
8481.4,747.4,1:1
8481.8,747.8,1:1
8481.9,747.9,1:1
8482.1,746.1,1:1
8482.2,746.2,1:1
8482.3,746.3,1:1
8482.4,746.4,1:1
8482.5,746.5,1:1
8482.8,746.8,1:1
8482.91,746.91,1:1
8482.99,746.99,1:1
8483.1,748.1,1:1
8483.2,748.21,1:1
8483.3,748.22,1:1
8483.4,748.4,1:1
8483.5,748.5,1:1
8483.6,748.6,1:1
8483.9,748.9,1:1
8484.1,749.2,n:1
8484.2,749.2,n:1
8484.9,749.2,n:1
8486.1,728.21,n:1
8486.2,728.21,n:1
8486.3,728.21,n:1
8486.4,728.22,1:1
8486.9,728.29,1:1
8487.1,749.91,1:1
8487.9,749.99,1:1
8501.1,716.1,1:1
8501.2,716.31,n:1
8501.31,716.2,n:1
8501.32,716.2,n:1
8501.33,716.2,n:1
8501.34,716.2,n:1
8501.4,716.31,n:1
8501.51,716.31,n:1
8501.52,716.31,n:1
8501.53,716.31,n:1
8501.61,716.32,n:1
8501.62,716.32,n:1
8501.63,716.32,n:1
8501.64,716.32,n:1
8502.11,716.51,n:1
8502.12,716.51,n:1
8502.13,716.51,n:1
8502.2,716.51,n:1
8502.31,716.52,n:1
8502.39,716.52,n:1
8502.4,716.4,1:1
8503,716.9,1:1
8504.1,771.23,1:1
8504.21,771.11,n:1
8504.22,771.11,n:1
8504.23,771.11,n:1
8504.31,771.19,n:1
8504.32,771.19,n:1
8504.33,771.19,n:1
8504.34,771.19,n:1
8504.4,771.21,1:1
8504.5,771.25,1:1
8504.9,771.29,1:1
8505.11,778.81,n:1
8505.19,778.81,n:1
8505.2,778.81,n:1
8505.9,778.81,n:1
8506.1,778.11,n:1
8506.3,778.11,n:1
8506.4,778.11,n:1
8506.5,778.11,n:1
8506.6,778.11,n:1
8506.8,778.11,n:1
8506.9,778.17,1:1
8507.1,778.12,n:1
8507.2,778.12,n:1
8507.3,778.12,n:1
8507.4,778.12,n:1
8507.5,778.12,n:1
8507.6,778.12,n:1
8507.8,778.12,n:1
8507.9,778.19,1:1
8508.11,775.51,n:1
8508.19,775.51,n:1
8508.6,775.56,1:1
8508.7,775.57,1:1
8509.4,775.72,1:1
8509.8,775.73,n:1
8509.9,775.79,1:1
8510.1,775.41,1:1
8510.2,775.42,1:1
8510.3,775.73,n:1
8510.9,775.49,1:1
8511.1,778.31,n:1
8511.2,778.31,n:1
8511.3,778.31,n:1
8511.4,778.31,n:1
8511.5,778.31,n:1
8511.8,778.31,n:1
8511.9,778.33,1:1
8512.1,778.34,n:1
8512.2,778.34,n:1
8512.3,778.34,n:1
8512.4,778.34,n:1
8512.9,778.35,1:1
8513.1,813.12,1:1
8513.9,813.8,1:1
8514.1,741.31,1:1
8514.2,741.32,1:1
8514.3,741.33,1:1
8514.4,741.34,1:1
8514.9,741.35,1:1
8515.11,737.31,1:1
8515.19,737.32,1:1
8515.21,737.33,1:1
8515.29,737.34,1:1
8515.31,737.35,1:1
8515.39,737.36,1:1
8515.8,737.37,1:1
8515.9,737.39,1:1
8516.1,775.81,1:1
8516.21,775.82,n:1
8516.29,775.82,n:1
8516.31,775.83,n:1
8516.32,775.83,n:1
8516.33,775.83,n:1
8516.4,775.84,1:1
8516.5,775.86,n:1
8516.6,775.86,n:1
8516.71,775.87,n:1
8516.72,775.87,n:1
8516.79,775.87,n:1
8516.8,775.88,1:1
8516.9,775.89,1:1
8517.11,764.11,n:1
8517.12,764.11,n:1
8517.18,764.11,n:1
8517.61,764.12,n:1
8517.62,764.12,n:1
8517.69,764.12,n:1
8517.7,764.18,1:1
8518.1,764.21,1:1
8518.21,764.22,n:1
8518.22,764.22,n:1
8518.29,764.23,1:1
8518.3,764.24,1:1
8518.4,764.25,1:1
8518.5,764.26,1:1
8518.9,764.92,1:1
8519.2,763.31,1:1
8519.3,763.35,1:1
8519.5,763.36,1:1
8519.81,763.39,n:1
8519.89,763.39,n:1
8521.1,763.81,1:1
8521.9,763.84,1:1
8522.1,764.99,n:1
8522.9,764.99,n:1
8523.21,898.42,n:1
8523.29,898.42,n:1
8523.41,898.44,n:1
8523.49,898.44,n:1
8523.51,898.46,n:1
8523.52,898.46,n:1
8523.59,898.46,n:1
8523.8,898.49,1:1
8525.5,764.31,1:1
8525.6,764.32,1:1
8525.8,764.84,1:1
8526.1,764.83,n:1
8526.91,764.83,n:1
8526.92,764.83,n:1
8527.12,762.21,n:1
8527.13,762.21,n:1
8527.19,762.22,1:1
8527.21,762.11,1:1
8527.29,762.12,1:1
8527.91,762.81,1:1
8527.92,762.82,1:1
8527.99,762.89,1:1
8528.41,761.3,n:1
8528.49,761.3,n:1
8528.51,761.4,n:1
8528.59,761.4,n:1
8528.61,761.5,n:1
8528.69,761.5,n:1
8528.71,761.6,n:1
8528.72,761.6,n:1
8528.73,761.6,n:1
8529.1,764.93,n:1
8529.9,764.93,n:1
8530.1,778.82,n:1
8530.8,778.82,n:1
8530.9,778.83,1:1
8531.1,778.84,n:1
8531.2,778.84,n:1
8531.8,778.84,n:1
8531.9,778.85,1:1
8532.1,778.61,1:1
8532.21,778.62,1:1
8532.22,778.63,1:1
8532.23,778.64,1:1
8532.24,778.65,1:1
8532.25,778.66,1:1
8532.29,778.67,1:1
8532.3,778.68,1:1
8532.9,778.69,1:1
8533.1,772.31,1:1
8533.21,772.32,n:1
8533.29,772.32,n:1
8533.31,772.33,n:1
8533.39,772.33,n:1
8533.4,772.35,1:1
8533.9,772.38,1:1
8534,772.2,1:1
8535.1,772.41,1:1
8535.21,772.42,1:1
8535.29,772.43,1:1
8535.3,772.44,1:1
8535.4,772.45,1:1
8535.9,772.49,1:1
8536.1,772.51,1:1
8536.2,772.52,1:1
8536.3,772.53,1:1
8536.41,772.54,n:1
8536.49,772.54,n:1
8536.5,772.55,1:1
8536.61,772.57,1:1
8536.69,772.58,1:1
8536.7,772.56,1:1
8536.9,772.59,1:1
8537.1,772.61,1:1
8537.2,772.62,1:1
8538.1,772.81,1:1
8538.9,772.82,1:1
8539.1,778.23,1:1
8539.21,778.21,n:1
8539.22,778.21,n:1
8539.29,778.21,n:1
8539.31,778.22,n:1
8539.32,778.22,n:1
8539.39,778.22,n:1
8539.41,778.24,n:1
8539.49,778.24,n:1
8539.9,778.29,1:1
8540.11,776.11,1:1
8540.12,776.12,1:1
8540.2,776.21,1:1
8540.4,776.23,n:1
8540.6,776.23,n:1
8540.71,776.25,n:1
8540.79,776.25,n:1
8540.81,776.27,n:1
8540.89,776.27,n:1
8540.91,776.29,n:1
8540.99,776.29,n:1
8541.1,776.31,1:1
8541.21,776.32,1:1
8541.29,776.33,1:1
8541.3,776.35,1:1
8541.4,776.37,1:1
8541.5,776.39,1:1
8541.6,776.81,1:1
8541.9,776.88,1:1
8542.31,776.42,1:1
8542.32,776.44,1:1
8542.33,776.46,1:1
8542.39,776.49,1:1
8542.9,776.89,1:1
8543.1,778.71,1:1
8543.2,778.78,n:1
8543.3,778.78,n:1
8543.7,778.78,n:1
8543.9,778.79,1:1
8544.11,773.11,n:1
8544.19,773.11,n:1
8544.2,773.12,1:1
8544.3,773.13,1:1
8544.42,773.16,n:1
8544.49,773.16,n:1
8544.6,773.17,1:1
8544.7,773.18,1:1
8545.11,778.86,n:1
8545.19,778.86,n:1
8545.2,778.86,n:1
8545.9,778.86,n:1
8546.1,773.22,1:1
8546.2,773.23,1:1
8546.9,773.24,1:1
8547.1,773.26,1:1
8547.2,773.28,1:1
8547.9,773.29,1:1
8548.1,778.13,n:1
8548.9,778.13,n:1
8601.1,791.11,1:1
8601.2,791.15,1:1
8602.1,791.21,1:1
8602.9,791.29,1:1
8603.1,791.6,n:1
8603.9,791.6,n:1
8604,791.81,1:1
8605,791.7,1:1
8606.1,791.82,n:1
8606.3,791.82,n:1
8606.91,791.82,n:1
8606.92,791.82,n:1
8606.99,791.82,n:1
8607.11,791.99,n:1
8607.12,791.99,n:1
8607.19,791.99,n:1
8607.21,791.99,n:1
8607.29,791.99,n:1
8607.3,791.99,n:1
8607.91,791.99,n:1
8607.99,791.99,n:1
8608,791.91,1:1
8609,786.3,1:1
8701.1,722.41,1:1
8701.2,783.2,1:1
8701.3,722.3,1:1
8701.9,722.49,1:1
8702.1,783.11,1:1
8702.9,783.19,1:1
8703.1,781.1,1:1
8703.21,781.2,n:1
8703.22,781.2,n:1
8703.23,781.2,n:1
8703.24,781.2,n:1
8703.31,781.2,n:1
8703.32,781.2,n:1
8703.33,781.2,n:1
8703.9,781.2,n:1
8704.1,782.11,1:1
8704.21,782.19,n:1
8704.22,782.19,n:1
8704.23,782.19,n:1
8704.31,782.19,n:1
8704.32,782.19,n:1
8704.9,782.19,n:1
8705.1,782.21,1:1
8705.2,782.23,1:1
8705.3,782.25,1:1
8705.4,782.27,1:1
8705.9,782.29,1:1
8706,784.1,1:1
8707.1,784.21,1:1
8707.9,784.25,1:1
8708.1,784.31,1:1
8708.21,784.32,n:1
8708.29,784.32,n:1
8708.3,784.33,1:1
8708.4,784.34,1:1
8708.5,784.35,1:1
8708.7,784.39,n:1
8708.8,784.39,n:1
8708.91,784.39,n:1
8708.92,784.39,n:1
8708.93,784.39,n:1
8708.94,784.39,n:1
8708.95,784.39,n:1
8708.99,784.39,n:1
8709.11,744.14,1:1
8709.19,744.15,1:1
8709.9,744.19,1:1
8710,891.11,1:1
8711.1,785.11,1:1
8711.2,785.13,1:1
8711.3,785.15,1:1
8711.4,785.16,1:1
8711.5,785.17,1:1
8711.9,785.19,1:1
8712,785.2,1:1
8713.1,785.31,n:1
8713.9,785.31,n:1
8714.1,785.35,1:1
8714.2,785.36,1:1
8714.91,785.37,n:1
8714.92,785.37,n:1
8714.93,785.37,n:1
8714.94,785.37,n:1
8714.95,785.37,n:1
8714.96,785.37,n:1
8714.99,785.37,n:1
8715,894.1,1:1
8716.1,786.1,1:1
8716.2,786.21,1:1
8716.31,786.22,1:1
8716.39,786.29,1:1
8716.4,786.83,1:1
8716.8,786.85,1:1
8716.9,786.89,1:1
8801,792.84,1:1
8802.11,792.11,1:1
8802.12,792.15,1:1
8802.2,792.2,1:1
8802.3,792.3,1:1
8802.4,792.4,1:1
8802.6,792.5,1:1
8803.1,792.91,1:1
8803.2,792.93,1:1
8803.3,792.95,1:1
8803.9,792.97,1:1
8804,899.96,1:1
8805.1,792.83,n:1
8805.21,792.83,n:1
8805.29,792.83,n:1
8901.1,793.28,1:1
8901.2,793.22,1:1
8901.3,793.26,1:1
8901.9,793.27,1:1
8902,793.24,1:1
8903.1,793.11,1:1
8903.91,793.12,1:1
8903.92,793.19,n:1
8903.99,793.19,n:1
8904,793.7,1:1
8905.1,793.51,1:1
8905.2,793.55,1:1
8905.9,793.59,1:1
8906.1,793.29,n:1
8906.9,793.29,n:1
8907.1,793.91,1:1
8907.9,793.99,1:1
8908,793.3,1:1
9001.1,884.19,n:1
9001.2,884.19,n:1
9001.3,884.11,1:1
9001.4,884.15,1:1
9001.5,884.17,1:1
9001.9,884.19,n:1
9002.11,884.31,1:1
9002.19,884.32,1:1
9002.2,884.33,1:1
9002.9,884.39,1:1
9003.11,884.21,n:1
9003.19,884.21,n:1
9003.9,884.22,1:1
9004.1,884.23,n:1
9004.9,884.23,n:1
9005.1,871.11,1:1
9005.8,871.15,1:1
9005.9,871.19,1:1
9006.1,881.11,n:1
9006.3,881.11,n:1
9006.4,881.11,n:1
9006.51,881.11,n:1
9006.52,881.11,n:1
9006.53,881.11,n:1
9006.59,881.11,n:1
9006.61,881.13,n:1
9006.69,881.13,n:1
9006.91,881.14,1:1
9006.99,881.15,1:1
9007.1,881.21,1:1
9007.2,881.22,1:1
9007.91,881.23,1:1
9007.92,881.24,1:1
9008.5,881.31,1:n
9008.5,881.32,1:n
9008.5,881.33,1:n
9008.9,881.34,1:1
9010.1,881.35,n:1
9010.5,881.35,n:1
9010.6,881.35,n:1
9010.9,881.36,1:1
9011.1,871.41,1:1
9011.2,871.43,1:1
9011.8,871.45,1:1
9011.9,871.49,1:1
9012.1,871.31,1:1
9012.9,871.39,1:1
9013.1,871.91,1:1
9013.2,871.92,1:1
9013.8,871.93,1:1
9013.9,871.99,1:1
9014.1,874.11,n:1
9014.2,874.11,n:1
9014.8,874.11,n:1
9014.9,874.12,1:1
9015.1,874.13,n:1
9015.2,874.13,n:1
9015.3,874.13,n:1
9015.4,874.13,n:1
9015.8,874.13,n:1
9015.9,874.14,1:1
9016,874.51,1:1
9017.1,874.22,n:1
9017.2,874.22,n:1
9017.3,874.23,n:1
9017.8,874.23,n:1
9017.9,874.24,1:1
9018.11,774.11,1:1
9018.12,774.12,n:1
9018.13,774.12,n:1
9018.14,774.12,n:1
9018.19,774.12,n:1
9018.2,774.13,1:1
9018.31,872.21,n:1
9018.32,872.21,n:1
9018.39,872.21,n:1
9018.41,872.11,1:1
9018.49,872.19,1:1
9018.5,872.25,1:1
9018.9,872.29,1:1
9019.1,872.31,1:1
9019.2,872.33,1:1
9020,872.35,1:1
9021.1,899.63,1:1
9021.21,899.65,n:1
9021.29,899.65,n:1
9021.31,899.66,n:1
9021.39,899.66,n:1
9021.4,899.61,1:1
9021.5,899.67,1:1
9021.9,899.69,1:1
9022.12,774.21,n:1
9022.13,774.21,n:1
9022.14,774.21,n:1
9022.19,774.21,n:1
9022.21,774.22,n:1
9022.29,774.22,n:1
9022.3,774.23,1:1
9022.9,774.29,1:1
9023,874.52,1:1
9024.1,874.53,n:1
9024.8,874.53,n:1
9024.9,874.54,1:1
9025.11,874.55,n:1
9025.19,874.55,n:1
9025.8,874.55,n:1
9025.9,874.56,1:1
9026.1,874.31,1:1
9026.2,874.35,1:1
9026.8,874.37,1:1
9026.9,874.39,1:1
9027.1,874.41,1:1
9027.2,874.42,1:1
9027.3,874.43,1:1
9027.5,874.45,1:1
9027.8,874.46,1:1
9027.9,874.49,1:1
9028.1,873.11,1:1
9028.2,873.13,1:1
9028.3,873.15,1:1
9028.9,873.19,1:1
9029.1,873.21,1:1
9029.2,873.25,1:1
9029.9,873.29,1:1
9030.1,874.71,1:1
9030.2,874.73,1:1
9030.31,874.75,n:1
9030.32,874.78,n:1
9030.33,874.75,n:1
9030.39,874.78,n:1
9030.4,874.77,1:1
9030.82,874.78,n:1
9030.84,874.78,n:1
9030.89,874.78,n:1
9030.9,874.79,1:1
9031.1,874.25,n:1
9031.2,874.25,n:1
9031.41,874.25,n:1
9031.49,874.25,n:1
9031.8,874.25,n:1
9031.9,874.26,1:1
9032.1,874.61,1:1
9032.2,874.63,1:1
9032.81,874.65,n:1
9032.89,874.65,n:1
9032.9,874.69,1:1
9033,874.9,1:1
9101.11,885.31,n:1
9101.19,885.31,n:1
9101.21,885.32,n:1
9101.29,885.32,n:1
9101.91,885.39,n:1
9101.99,885.39,n:1
9102.11,885.41,n:1
9102.12,885.41,n:1
9102.19,885.41,n:1
9102.21,885.42,n:1
9102.29,885.42,n:1
9102.91,885.49,n:1
9102.99,885.49,n:1
9103.1,885.72,1:1
9103.9,885.73,1:1
9104,885.71,1:1
9105.11,885.74,1:1
9105.19,885.75,1:1
9105.21,885.76,1:1
9105.29,885.77,1:1
9105.91,885.78,1:1
9105.99,885.79,1:1
9106.1,885.94,n:1
9106.9,885.94,n:1
9107,885.95,1:1
9108.11,885.51,n:1
9108.12,885.51,n:1
9108.19,885.51,n:1
9108.2,885.52,n:1
9108.9,885.52,n:1
9109.1,885.96,n:1
9109.9,885.96,n:1
9110.11,885.98,n:1
9110.12,885.98,n:1
9110.19,885.98,n:1
9110.9,885.98,n:1
9111.1,885.91,n:1
9111.2,885.91,n:1
9111.8,885.91,n:1
9111.9,885.91,n:1
9112.2,885.97,n:1
9112.9,885.97,n:1
9113.1,885.92,n:1
9113.2,885.92,n:1
9113.9,885.93,1:1
9114.1,885.99,n:1
9114.3,885.99,n:1
9114.4,885.99,n:1
9114.9,885.99,n:1
9201.1,898.13,n:1
9201.2,898.13,n:1
9201.9,898.13,n:1
9202.1,898.15,n:1
9202.9,898.15,n:1
9205.1,898.23,n:1
9205.9,898.23,n:1
9206,898.24,1:1
9207.1,898.25,1:1
9207.9,898.26,1:1
9208.1,898.29,n:1
9208.9,898.29,n:1
9209.3,898.9,n:1
9209.91,898.9,n:1
9209.92,898.9,n:1
9209.94,898.9,n:1
9209.99,898.9,n:1
9301.1,891.12,n:1
9301.2,891.12,n:1
9301.9,891.12,n:1
9302,891.14,1:1
9303.1,891.31,n:1
9303.2,891.31,n:1
9303.3,891.31,n:1
9303.9,891.31,n:1
9304,891.39,1:1
9305.1,891.91,1:1
9305.2,891.93,1:n
9305.2,891.95,1:n
9305.91,891.99,n:1
9305.99,891.99,n:1
9306.21,891.22,1:1
9306.29,891.23,1:1
9306.3,891.24,1:1
9306.9,891.29,1:1
9307,891.13,1:1
9401.1,821.11,1:1
9401.2,821.12,1:1
9401.3,821.14,1:1
9401.4,821.15,1:1
9401.51,821.13,n:1
9401.59,821.13,n:1
9401.61,821.16,n:1
9401.69,821.16,n:1
9401.71,821.17,n:1
9401.79,821.17,n:1
9401.8,821.18,1:1
9401.9,821.19,1:1
9402.1,872.4,n:1
9402.9,872.4,n:1
9403.1,821.31,1:1
9403.2,821.39,1:1
9403.3,821.51,1:1
9403.4,821.53,1:1
9403.5,821.55,1:1
9403.6,821.59,1:1
9403.7,821.71,1:1
9403.81,821.79,n:1
9403.89,821.79,n:1
9403.9,821.8,1:1
9404.1,821.21,1:1
9404.21,821.23,1:1
9404.29,821.25,1:1
9404.3,821.27,1:1
9404.9,821.29,1:1
9405.1,813.11,1:1
9405.2,813.13,1:1
9405.3,894.41,1:1
9405.4,813.15,1:1
9405.5,813.17,1:1
9405.6,813.2,1:1
9405.91,813.91,1:1
9405.92,813.92,1:1
9405.99,813.99,1:1
9406,811,1:1
9503,894.2,1:1
9504.2,894.33,1:1
9504.3,894.35,1:1
9504.4,894.37,1:1
9504.5,894.31,n:n
9504.5,894.39,n:n
9504.9,894.39,n:n
9505.1,894.45,1:1
9505.9,894.49,1:1
9506.11,894.73,n:1
9506.12,894.73,n:1
9506.19,894.73,n:1
9506.21,894.74,n:1
9506.29,894.74,n:1
9506.31,894.75,n:1
9506.32,894.75,n:1
9506.39,894.75,n:1
9506.4,894.79,n:1
9506.51,894.76,n:1
9506.59,894.76,n:1
9506.61,894.79,n:1
9506.62,894.79,n:1
9506.69,894.79,n:1
9506.7,894.72,1:1
9506.91,894.78,1:1
9506.99,894.79,n:1
9507.1,894.71,n:1
9507.2,894.71,n:1
9507.3,894.71,n:1
9507.9,894.71,n:1
9508.1,894.6,n:1
9508.9,894.6,n:1
9601.1,899.11,n:1
9601.9,899.11,n:1
9602,899.19,1:1
9603.1,899.72,n:1
9603.21,899.72,n:1
9603.29,899.72,n:1
9603.3,899.72,n:1
9603.4,899.72,n:1
9603.5,899.72,n:1
9603.9,899.72,n:1
9604,899.81,1:1
9605,831.3,1:1
9606.1,899.83,n:1
9606.21,899.83,n:1
9606.22,899.83,n:1
9606.29,899.83,n:1
9606.3,899.84,1:1
9607.11,899.85,n:1
9607.19,899.85,n:1
9607.2,899.86,1:1
9608.1,895.21,n:1
9608.2,895.21,n:1
9608.3,895.21,n:1
9608.4,895.21,n:1
9608.5,895.21,n:1
9608.6,895.21,n:1
9608.91,895.22,1:1
9608.99,895.21,n:1
9609.1,895.23,n:1
9609.2,895.23,n:1
9609.9,895.23,n:1
9610,895.92,1:1
9611,895.93,1:1
9612.1,895.94,n:1
9612.2,895.94,n:1
9613.1,899.33,n:1
9613.2,899.33,n:1
9613.8,899.33,n:1
9613.9,899.35,1:1
9614,899.37,1:1
9615.11,899.89,n:1
9615.19,899.89,n:1
9615.9,899.89,n:1
9616.1,899.87,1:1
9616.2,899.82,1:1
9617,899.97,1:1
9618,899.88,1:1
9619,642.95,n:n
9619,657.71,n:n
9619,658.93,n:n
9619,842.89,n:n
9619,844.82,n:n
9619,845.11,n:n
9619,845.12,n:n
9619,845.23,n:n
9619,845.24,n:n
9619,848.21,n:n
9619,893.99,n:n
9701.1,896.11,1:1
9701.9,896.12,1:1
9702,896.2,1:1
9703,896.3,1:1
9704,896.4,1:1
9705,896.5,1:1
9706,896.6,1:1
