"© and creator: GreenDelta GmbH 2015 and JRC. The mapping lists are provided under the GNU Affero general public license, AGPL 3, http://www.gnu.org/licenses/agpl-3.0.en.html.",,,,,,,,,,,,,,,,,,,,,,,,,
ecoinvent_id,ecoinvent_unit_id,ecoinvet_casnumber,ecoinvent_formula,ecoinvent_name,ecoinvent_unit,ecoinvent_subcompartmentid,ecoinvent_compartment,ecoinvent_subcompartment,ecoinvent_synonym,ILCD_ID,ILCD_NAME,ILCD_CAS,ILCD_SYNONYMS,ILCD_FLOW_PROPERTY_ID,ILCD_FLOW_PROPERTY,ILCD_UNIT,ILCD_CATEGORY_0,ILCD_CATEGORY_1,ILCD_CATEGORY_2,CONVERSION_FACTOR,PROXY_BY_NAME,,,,
048baf1e-6cdc-44a5-92e2-32d15ff54885,487df68b-4994-4027-8fdc-a4dc298257b7,000071-41-0,,1-Pentanol,kg,7011f0aa-f5f9-4901-8c10-884ad8296812,air,unspecified,amyl alcohol,11851a5e-7169-4d44-8a0e-886796fc9b57,pentan-1-ol,000071-41-0,"1-Pentanol;1-Pentyl alcohol;AC1L1M6C;AC1Q2WLD;Alcool amylique;Amyl alcohol;Amyl alcohol, n-;Amyl alcohol, normal;Amylalkohol;Amylol;Butyl carbinol;Butylcarbinol;LTBB001118;N-Amyl alcohol;N-PENTYL ALCOHOL;P0055;PE9;Pentanol;Pentanol (VAN);Pentanol-1;Penta",93a60a56-a3c8-11da-a746-0800200b9a66,Mass,kg,Emissions,Emissions to air,"Emissions to air, unspecified",1,TRUE,,,,
9dd01d5b-3677-4822-9cd4-36d21b0e23d1,487df68b-4994-4027-8fdc-a4dc298257b7,000071-41-0,,1-Pentanol,kg,23dbff79-8037-43e7-b270-5a3da416a284,air,"low population density, long-term",amyl alcohol,476a81ff-60ca-44bf-9485-0185095facbc,pentan-1-ol,000071-41-0,"1-Pentanol;1-Pentyl alcohol;AC1L1M6C;AC1Q2WLD;Alcool amylique;Amyl alcohol;Amyl alcohol, n-;Amyl alcohol, normal;Amylalkohol;Amylol;Butyl carbinol;Butylcarbinol;LTBB001118;N-Amyl alcohol;N-PENTYL ALCOHOL;P0055;PE9;Pentanol;Pentanol (VAN);Pentanol-1;Penta",93a60a56-a3c8-11da-a746-0800200b9a66,Mass,kg,Emissions,Emissions to air,"Emissions to air, unspecified (long-term)",1,TRUE,,,,
5074e239-b510-49aa-928c-fcdb462481d8,487df68b-4994-4027-8fdc-a4dc298257b7,000071-41-0,,1-Pentanol,kg,a119c440-7e83-4655-a874-97fe1468315a,water,ground-,amyl alcohol,09183939-8fb4-4c8a-835f-85026db3cd78,pentan-1-ol,000071-41-0,"1-Pentanol;1-Pentyl alcohol;AC1L1M6C;AC1Q2WLD;Alcool amylique;Amyl alcohol;Amyl alcohol, n-;Amyl alcohol, normal;Amylalkohol;Amylol;Butyl carbinol;Butylcarbinol;LTBB001118;N-Amyl alcohol;N-PENTYL ALCOHOL;P0055;PE9;Pentanol;Pentanol (VAN);Pentanol-1;Penta",93a60a56-a3c8-11da-a746-0800200b9a66,Mass,kg,Emissions,Emissions to water,Emissions to fresh water,1,TRUE,,,,
e4526360-b2a1-4e77-9f00-57dbfe228bde,487df68b-4994-4027-8fdc-a4dc298257b7,000071-41-0,,1-Pentanol,kg,963f8022-3e2e-4be9-ad4d-b3b7a2282099,water,surface water,amyl alcohol,09183939-8fb4-4c8a-835f-85026db3cd78,pentan-1-ol,000071-41-0,"1-Pentanol;1-Pentyl alcohol;AC1L1M6C;AC1Q2WLD;Alcool amylique;Amyl alcohol;Amyl alcohol, n-;Amyl alcohol, normal;Amylalkohol;Amylol;Butyl carbinol;Butylcarbinol;LTBB001118;N-Amyl alcohol;N-PENTYL ALCOHOL;P0055;PE9;Pentanol;Pentanol (VAN);Pentanol-1;Penta",93a60a56-a3c8-11da-a746-0800200b9a66,Mass,kg,Emissions,Emissions to water,Emissions to fresh water,1,TRUE,,,,
b78e77cb-7636-4420-855e-17239984f8b3,487df68b-4994-4027-8fdc-a4dc298257b7,000071-41-0,,1-Pentanol,kg,f335ce0e-b830-475a-adab-03858d9cbdaf,air,lower stratosphere + upper troposphere,amyl alcohol,fb1af5bd-4ee5-402b-95f3-a61b2794e1f3,pentan-1-ol,000071-41-0,"1-Pentanol;1-Pentyl alcohol;AC1L1M6C;AC1Q2WLD;Alcool amylique;Amyl alcohol;Amyl alcohol, n-;Amyl alcohol, normal;Amylalkohol;Amylol;Butyl carbinol;Butylcarbinol;LTBB001118;N-Amyl alcohol;N-PENTYL ALCOHOL;P0055;PE9;Pentanol;Pentanol (VAN);Pentanol-1;Penta",93a60a56-a3c8-11da-a746-0800200b9a66,Mass,kg,Emissions,Emissions to air,Emissions to lower stratosphere and upper troposphere,1,TRUE,,,,
cc9a442f-c96a-4bdc-990d-8b58f72b4e07,487df68b-4994-4027-8fdc-a4dc298257b7,000071-41-0,,1-Pentanol,kg,be7e06e9-0bf5-462e-99dc-fe4aee383c48,air,non-urban air or from high stacks,amyl alcohol,9578fb76-9c00-44ff-a991-cd116cb36231,pentan-1-ol,000071-41-0,"1-Pentanol;1-Pentyl alcohol;AC1L1M6C;AC1Q2WLD;Alcool amylique;Amyl alcohol;Amyl alcohol, n-;Amyl alcohol, normal;Amylalkohol;Amylol;Butyl carbinol;Butylcarbinol;LTBB001118;N-Amyl alcohol;N-PENTYL ALCOHOL;P0055;PE9;Pentanol;Pentanol (VAN);Pentanol-1;Penta",93a60a56-a3c8-11da-a746-0800200b9a66,Mass,kg,Emissions,Emissions to air,Emissions to non-urban air or from high stacks,1,TRUE,,,,
8d28a5b3-1b1c-41e9-9eba-90c607aad7db,487df68b-4994-4027-8fdc-a4dc298257b7,000071-41-0,,1-Pentanol,kg,65f8d2a1-63ed-479c-b86c-3bcf38e86320,water,ocean,amyl alcohol,dc58fab4-3357-496d-84ee-57b8985c7900,pentan-1-ol,000071-41-0,"1-Pentanol;1-Pentyl alcohol;AC1L1M6C;AC1Q2WLD;Alcool amylique;Amyl alcohol;Amyl alcohol, n-;Amyl alcohol, normal;Amylalkohol;Amylol;Butyl carbinol;Butylcarbinol;LTBB001118;N-Amyl alcohol;N-PENTYL ALCOHOL;P0055;PE9;Pentanol;Pentanol (VAN);Pentanol-1;Penta",93a60a56-a3c8-11da-a746-0800200b9a66,Mass,kg,Emissions,Emissions to water,Emissions to sea water,1,TRUE,,,,
541a823c-0aad-4dc4-9123-d4af4647d942,487df68b-4994-4027-8fdc-a4dc298257b7,000071-41-0,,1-Pentanol,kg,e8d7772c-55ca-4dd7-b605-fee5ae764578,air,urban air close to ground,amyl alcohol,9758dad7-53a4-4b38-9404-b6db9cb28c8b,pentan-1-ol,000071-41-0,"1-Pentanol;1-Pentyl alcohol;AC1L1M6C;AC1Q2WLD;Alcool amylique;Amyl alcohol;Amyl alcohol, n-;Amyl alcohol, normal;Amylalkohol;Amylol;Butyl carbinol;Butylcarbinol;LTBB001118;N-Amyl alcohol;N-PENTYL ALCOHOL;P0055;PE9;Pentanol;Pentanol (VAN);Pentanol-1;Penta",93a60a56-a3c8-11da-a746-0800200b9a66,Mass,kg,Emissions,Emissions to air,Emissions to urban air close to ground,1,TRUE,,,,
070dc6b3-0976-45a0-803e-0a87d7e96959,487df68b-4994-4027-8fdc-a4dc298257b7,000071-41-0,,1-Pentanol,kg,e47f0a6c-3be8-4027-9eee-de251784f708,water,unspecified,amyl alcohol,ac56e764-b13b-4dcd-abd6-9c43fcbaf781,pentan-1-ol,000071-41-0,"1-Pentanol;1-Pentyl alcohol;AC1L1M6C;AC1Q2WLD;Alcool amylique;Amyl alcohol;Amyl alcohol, n-;Amyl alcohol, normal;Amylalkohol;Amylol;Butyl carbinol;Butylcarbinol;LTBB001118;N-Amyl alcohol;N-PENTYL ALCOHOL;P0055;PE9;Pentanol;Pentanol (VAN);Pentanol-1;Penta",93a60a56-a3c8-11da-a746-0800200b9a66,Mass,kg,Emissions,Emissions to water,"Emissions to water, unspecified",1,TRUE,,,,
cfa50eaf-a817-4352-b9fe-aa834240d269,487df68b-4994-4027-8fdc-a4dc298257b7,000071-41-0,,1-Pentanol,kg,aa4362e0-b20a-448b-b2a0-261f4510deb5,water,"ground-, long-term",amyl alcohol,061a2617-bece-4ace-a824-6a71049bc74c,pentan-1-ol,000071-41-0,"1-Pentanol;1-Pentyl alcohol;AC1L1M6C;AC1Q2WLD;Alcool amylique;Amyl alcohol;Amyl alcohol, n-;Amyl alcohol, normal;Amylalkohol;Amylol;Butyl carbinol;Butylcarbinol;LTBB001118;N-Amyl alcohol;N-PENTYL ALCOHOL;P0055;PE9;Pentanol;Pentanol (VAN);Pentanol-1;Penta",93a60a56-a3c8-11da-a746-0800200b9a66,Mass,kg,Emissions,Emissions to water,"Emissions to water, unspecified (long-term)",1,TRUE,,,,
