Pulp,p21.1,C_PULP,Pulp,p21.1,C_PULP
Secondary paper for treatment; Re-processing of secondary paper into new pulp,p21.w.1,C_PAPR,"Secondary paper for treatment, Re-processing of secondary paper into new pulp",p21.w.1,C_PAPR
Paper and paper products,p21.2,C_PAPE,Paper and paper products,p21.2,C_PAPE
Printed matter and recorded media (22),p22,C_MDIA,Printed matter and recorded media (22),p22,C_MDIA
Coke Oven Coke,p23.1.a,C_COKE,Coke oven products,p23.1,C_COPR
Gas Coke,p23.1.b,C_GCOK,Coke oven products,p23.1,C_COPR
Coal Tar,p23.1.c,C_COTA,Coke oven products,p23.1,C_COPR
Motor Gasoline,p23.20.a,C_MGSL, Refined Petroleum,p23.2,C_REFP
Aviation Gasoline,p23.20.b,C_AGSL, Refined Petroleum,p23.2,C_REFP
Gasoline Type Jet Fuel,p23.20.c,C_GJET, Refined Petroleum,p23.2,C_REFP
Kerosene Type Jet Fuel,p23.20.d,C_KJET, Refined Petroleum,p23.2,C_REFP
Kerosene,p23.20.e,C_KERO, Refined Petroleum,p23.2,C_REFP
Gas/Diesel Oil,p23.20.f,C_DOIL, Refined Petroleum,p23.2,C_REFP
Heavy Fuel Oil,p23.20.g,C_FOIL, Refined Petroleum,p23.2,C_REFP
Refinery Gas,p23.20.h,C_RGAS, Refined Petroleum,p23.2,C_REFP
Liquefied Petroleum Gases (LPG),p23.20.i,C_LPGA, Refined Petroleum,p23.2,C_REFP
Refinery Feedstocks,p23.20.j,C_REFF, Refined Petroleum,p23.2,C_REFP
Ethane,p23.20.k,C_ETHA, Refined Petroleum,p23.2,C_REFP
Naphtha,p23.20.l,C_NAPT, Refined Petroleum,p23.2,C_REFP
White Spirit & SBP,p23.20.m,C_WHSP, Refined Petroleum,p23.2,C_REFP
Lubricants,p23.20.n,C_LUBR, Refined Petroleum,p23.2,C_REFP
Bitumen,p23.20.o,C_BITU, Refined Petroleum,p23.2,C_REFP
Paraffin Waxes,p23.20.p,C_PARW, Refined Petroleum,p23.2,C_REFP
Petroleum Coke,p23.20.q,C_PETC, Refined Petroleum,p23.2,C_REFP
Non-specified Petroleum Products,p23.20.r,C_NSPP, Refined Petroleum,p23.2,C_REFP
Nuclear fuel,p23.3,C_NUCF,Nuclear fuel,p23.3,C_NUCF
Plastics; basic,p24.a,C_PLAS,"Plastics, basic",p24.a,C_PLAS
Secondary plastic for treatment; Re-processing of secondary plastic into new plastic,p24.a.w,C_PLAW,"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",p24.a.w,C_PLAW
N-fertiliser,p24.b,C_NFER,N-fertiliser,p24.b,C_NFER
P- and other fertiliser,p24.c,C_PFER,P- and other fertiliser,p24.c,C_PFER
Chemicals nec,p24.d,C_CHEM,Chemicals nec; additives and biofuels,p24.4,C_CHBI
Charcoal,p24.e,C_CHAR,Chemicals nec; additives and biofuels,p24.4,C_CHBI
Additives/Blending Components,p24.f,C_ADDC,Chemicals nec; additives and biofuels,p24.4,C_CHBI
Biogasoline,p24.g,C_BIOG,Chemicals nec; additives and biofuels,p24.4,C_CHBI
Biodiesels,p24.h,C_BIOD,Chemicals nec; additives and biofuels,p24.4,C_CHBI
Other Liquid Biofuels,p24.i,C_OBIO,Chemicals nec; additives and biofuels,p24.4,C_CHBI
Rubber and plastic products (25),p25,C_RUBP,Rubber and plastic products (25),p25,C_RUBP
Glass and glass products,p26.a,C_GLAS,Glass and glass products,p26.a,C_GLAS
Secondary glass for treatment; Re-processing of secondary glass into new glass,p26.a.w,C_GLAW,"Secondary glass for treatment, Re-processing of secondary glass into new glass",p26.w.1,C_GLAW
Ceramic goods,p26.b,C_CRMC,Ceramic goods,p26.b,C_CRMC
Bricks; tiles and construction products; in baked clay,p26.c,C_BRIK,"Bricks, tiles and construction products, in baked clay",p26.c,C_BRIK
Cement; lime and plaster,p26.d,C_CMNT,"Cement, lime and plaster",p26.d,C_CMNT
Ash for treatment; Re-processing of ash into clinker,p26.d.w,C_ASHW,"Ash for treatment, Re-processing of ash into clinker",p26.d.w,C_ASHW
Other non-metallic mineral products,p26.e,C_ONMM,Other non-metallic mineral products,p26.e,C_ONMM
Basic iron and steel and of ferro-alloys and first products thereof,p27.a,C_STEL,Basic iron and steel and of ferro-alloys and first products thereof,p27.a,C_STEL
Secondary steel for treatment; Re-processing of secondary steel into new steel,p27.a.w,C_STEW,"Secondary steel for treatment, Re-processing of secondary steel into new steel",p27.a.w,C_STEW
Precious metals,p27.41,C_PREM,Precious metals,p27.41,C_PREM
Secondary preciuos metals for treatment; Re-processing of secondary preciuos metals into new preciuos metals,p27.41.w,C_PREW,"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",p27.41.w,C_PREW
Aluminium and aluminium products,p27.42,C_ALUM,Aluminium and aluminium products,p27.42,C_ALUM
Secondary aluminium for treatment; Re-processing of secondary aluminium into new aluminium,p27.42.w,C_ALUW,"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",p27.42.w,C_ALUW
Lead; zinc and tin and products thereof,p27.43,C_LZTP,"Lead, zinc and tin and products thereof",p27.43,C_LZTP
