SITC4code,SITC4part,CPC2code,CPC2part
54.59,1,1219,0
54.59,1,1231,0
54.59,1,1233,0
54.59,1,1235,0
54.59,1,1239,0
54.59,1,1290,0
54.59,1,1450,0
54.59,1,1690,1
54.61,0,21319,1
54.69,1,21311,0
54.69,1,21312,0
54.69,1,21313,0
54.69,1,21319,1
54.7,0,21330,0
54.81,0,1592,0
54.83,1,1591,0
54.83,1,1593,0
54.83,1,1599,0
54.84,0,1659,0
54.87,0,1801,0
54.89,1,1391,0
54.89,1,1690,1
54.89,1,1802,0
54.89,1,1809,0
54.89,1,1990,0
54.89,1,21499,1
56.12,0,21393,1
56.13,0,21393,1
56.19,0,21393,1
56.41,0,21392,1
56.42,0,21392,1
56.45,0,23230,0
56.46,0,23170,1
56.47,0,23170,1
56.48,0,23170,1
56.61,0,21394,1
56.69,1,21391,0
56.69,1,21399,1
56.71,1,21340,0
56.71,1,21499,1
56.72,0,21399,1
56.73,0,21399,1
56.74,0,21397,0
56.76,0,21394,1
56.77,0,21399,1
56.79,1,21395,0
56.79,1,21396,0
56.79,1,21399,1
57.11,1,1323,0
57.11,1,21419,1
57.12,1,1324,0
57.12,1,21419,1
57.21,1,1322,0
57.21,1,21419,1
57.22,1,1321,0
57.22,1,21419,1
57.29,1,1329,0
57.29,1,21419,1
57.3,1,1312,0
57.3,1,1313,0
57.3,1,21419,1
57.4,0,1351,0
57.51,0,1330,0
57.52,0,21411,0
57.6,1,1315,0
57.6,1,21419,1
57.71,1,1460,0
57.71,1,21429,1
57.72,1,1377,0
57.72,1,21429,1
57.73,1,1372,0
57.73,1,21424,0
57.74,1,1371,0
57.74,1,21422,0
57.75,1,1374,0
57.75,1,21423,0
57.76,1,1376,0
57.76,1,21429,1
57.77,1,1373,0
57.77,1,21429,1
57.78,1,1375,0
57.78,1,21429,1
57.79,1,1379,0
57.79,1,3230,0
57.79,1,21429,1
57.91,1,1221,0
57.91,1,1229,0
57.91,1,1317,0
57.92,0,1352,0
57.93,1,1353,0
57.93,1,1354,0
57.93,1,1355,0
57.93,1,1356,0
57.94,1,1343,0
57.94,1,1344,0
57.94,1,1349,1
57.95,1,1318,0
57.95,1,21419,1
57.96,1,1314,0
57.96,1,21419,1
57.97,1,1311,0
57.97,1,1316,0
57.97,1,21419,1
57.98,1,1319,0
57.98,1,1341,0
57.98,1,1342,0
57.98,1,1349,1
57.98,1,1359,0
57.98,1,1399,0
57.99,1,21412,0
57.99,1,21419,1
58.1,0,21494,0
58.21,0,21496,1
58.22,0,21496,1
58.31,0,21493,1
58.32,0,21493,1
58.39,0,21493,1
58.92,0,21495,0
58.93,0,21491,0
58.94,0,21499,1
58.95,1,21492,0
58.95,1,21499,1
58.96,0,21499,1
58.97,0,21499,1
59.1,0,21431,0
59.2,0,21432,0
59.3,0,21439,1
59.91,0,21433,0
59.92,0,21321,0
59.93,0,21434,0
59.94,0,21435,0
59.95,1,21329,1
59.95,1,21439,1
59.96,1,21329,1
59.96,1,21439,1
61.11,0,23511,0
61.12,0,23512,0
61.21,0,23530,1
61.29,0,23520,0
61.51,0,23540,1
61.59,0,23540,1
61.6,0,2910,0
61.91,0,23210,1
61.92,0,23530,1
61.93,0,23210,1
61.94,0,23210,1
61.95,0,23210,1
61.96,0,23210,1
61.99,0,23210,1
62.1,0,23670,1
62.21,0,23670,1
62.29,0,23670,1
71.11,0,1610,0
71.12,0,23911,1
71.2,0,23911,1
71.31,0,23912,1
71.32,1,23912,1
71.32,1,39150,1
71.33,0,23912,1
72.1,0,1640,0
72.2,0,23630,0
72.31,0,23610,1
72.32,0,23610,1
72.4,0,23620,0
72.5,0,39150,1
73.1,0,23640,0
73.2,0,23650,0
73.3,0,23660,1
73.9,0,23660,1
74.11,0,23913,1
74.12,0,1620,1
74.13,0,23913,1
74.14,0,1620,1
74.31,0,1630,0
74.32,0,23914,0
75.11,0,1651,0
75.12,0,23921,0
75.13,1,1652,0
75.13,1,23922,0
75.21,1,1658,0
75.21,1,23928,0
75.22,0,1655,0
75.23,0,23925,0
75.24,1,1656,0
75.24,1,23926,0
75.25,1,1653,0
75.25,1,23923,0
75.26,1,1654,0
75.26,1,23924,0
75.27,1,1657,0
75.27,1,23927,0
75.28,0,1690,1
75.29,0,1690,1
81.11,0,1913,0
81.12,0,23320,0
81.13,1,1911,0
81.13,1,1912,0
81.13,1,1919,0
81.19,0,39120,1
81.23,0,39120,1
81.24,0,39120,1
81.26,0,39120,1
81.29,0,39120,1
81.31,0,21710,1
81.32,0,21710,1
81.33,0,21710,1
81.34,0,21710,1
81.35,0,21710,1
81.36,0,21710,1
81.37,0,21710,1
81.38,0,21710,1
81.39,0,21710,1
81.41,0,21180,0
81.42,0,21291,0
81.51,0,39130,0
81.52,0,39140,0
81.53,0,39160,0
81.94,0,39170,0
81.95,0,23311,0
81.99,0,23319,0
91.01,0,21550,1
91.09,0,21550,1
98.11,0,23991,1
98.12,0,23991,1
98.13,0,23991,1
98.14,0,23991,1
98.41,0,23995,1
98.42,0,23995,1
98.43,0,23995,1
98.44,0,23994,0
98.49,0,23995,1
98.5,0,23992,0
98.6,0,23996,0
98.91,1,23721,0
98.91,1,23722,0
98.92,0,2930,0
98.93,0,23991,1
98.94,0,23999,1
98.99,1,23997,0
98.99,1,23999,1
111.01,1,17300,0
111.01,1,17400,0
111.01,1,18000,0
111.01,1,24410,0
111.02,0,24490,0
112.11,0,24212,1
112.13,0,24220,0
112.15,0,24211,0
112.17,0,24212,1
112.2,0,24230,0
112.3,0,24310,0
112.41,0,24131,1
112.42,0,24131,1
112.44,0,24131,1
112.45,0,24131,1
112.49,1,24131,1
112.49,1,24139,0
121.1,0,1970,0
121.2,0,25010,0
121.3,0,39180,0
122.1,0,25020,1
122.2,0,25020,1
122.31,0,25020,1
122.32,0,25090,1
122.39,0,25090,1
211.21,1,2951,1
211.21,1,2952,1
211.29,1,2951,1
211.29,1,2952,1
211.6,0,2953,1
211.7,0,2953,1
211.91,0,39220,0
211.99,1,2954,0
211.99,1,2959,0
212.1,0,2955,1
212.22,0,2955,1
212.25,0,2955,1
212.29,0,2955,1
212.3,0,2955,1
222.11,1,1421,0
222.11,1,1422,0
222.12,0,21421,0
222.2,1,1411,0
222.2,1,1412,0
222.3,1,1431,0
222.3,1,1432,0
222.4,0,1445,0
222.5,0,1444,0
222.61,0,1443,0
222.62,0,1442,0
223.1,0,1499,1
223.4,0,1441,0
223.7,1,1446,0
223.7,1,1449,0
223.7,1,1491,0
223.7,1,1499,1
223.9,0,21720,0
231.1,0,1950,1
231.21,0,1950,1
231.25,0,1950,1
231.29,0,1950,1
231.3,0,3211,0
232.11,0,34800,1
232.12,0,34800,1
232.13,0,34800,1
232.14,0,34800,1
232.15,0,34800,1
232.16,0,34800,1
232.17,0,34800,1
232.18,0,34800,1
232.19,0,34800,1
232.21,0,36210,0
232.22,0,39250,0
244.02,0,31921,1
244.03,0,3220,0
244.04,0,31921,1
245.01,0,3130,0
245.02,0,34510,0
246.11,0,31230,1
246.15,0,31230,1
246.2,0,39280,0
247.3,0,31310,0
247.4,0,3110,0
247.5,0,3120,1
247.9,0,3120,1
248.11,0,31100,1
248.19,0,31320,0
248.2,0,31100,1
248.3,0,31210,1
248.4,0,31100,1
248.5,0,31210,1
251.11,0,39240,1
251.12,0,39240,1
251.13,0,39240,1
251.19,0,39240,1
251.2,0,32113,1
251.3,0,32111,0
251.41,0,32112,1
251.42,0,32112,1
251.51,0,32112,1
251.52,0,32112,1
251.61,0,32112,1
251.62,0,32112,1
251.91,0,32113,1
251.92,0,32113,1
261.3,0,26110,0
261.41,0,2944,0
261.42,0,39211,0
263.1,0,1921,0
263.2,0,21600,0
263.31,0,39214,0
263.32,0,39215,1
263.39,0,39215,1
263.4,0,26160,0
264.1,0,1922,0
264.9,0,26170,0
265.11,0,1929,1
265.12,0,26190,1
265.13,0,26190,1
265.21,0,1929,1
265.29,0,26190,1
265.8,1,1929,1
265.8,1,26190,1
266.51,0,35510,1
266.52,0,35510,1
266.53,0,35510,1
266.59,0,35510,1
266.61,0,35510,1
266.62,0,35510,1
266.63,0,35510,1
266.69,0,35510,1
266.71,0,26210,1
266.72,0,26210,1
266.73,0,26210,1
266.79,0,26210,1
267.11,0,35540,1
267.12,0,35540,1
267.13,0,26220,0
267.21,0,39216,1
267.22,0,39216,1
268.11,0,2941,0
268.19,0,2942,1
268.21,0,26130,1
268.29,0,26130,1
