ISIC4code,ISIC4part,NACE2code,NACE2part
259,1,25.7,0
2593,1,25.71,0
2593,1,25.72,0
2593,1,25.73,0
259,1,25.9,0
2599,1,25.91,0
2599,1,25.92,0
2599,1,25.93,0
2599,1,25.94,0
2599,1,25.99,0
26,0,26,0
261,0,26.1,0
2610,1,26.11,0
2610,1,26.12,0
262,0,26.2,0
2620,0,26.2,0
263,0,26.3,0
2630,0,26.3,0
264,0,26.4,0
2640,0,26.4,0
265,0,26.5,0
2651,0,26.51,0
2652,0,26.52,0
266,0,26.6,0
2660,0,26.6,0
267,0,26.7,0
2670,0,26.7,0
268,0,26.8,0
2680,0,26.8,0
27,0,27,0
271,0,27.1,0
2710,1,27.11,0
2710,1,27.12,0
272,0,27.2,0
2720,0,27.2,0
273,0,27.3,0
2731,0,27.31,0
2732,0,27.32,0
2733,0,27.33,0
274,0,27.4,0
2740,0,27.4,0
275,0,27.5,0
2750,1,27.51,0
2750,1,27.52,0
279,0,27.9,0
2790,0,27.9,0
28,0,28,0
281,1,28.1,0
2811,0,28.11,0
2812,0,28.12,0
2813,1,28.13,0
2813,1,28.14,0
2814,0,28.15,0
281,1,28.2,0
2815,0,28.21,0
2816,0,28.22,0
2817,0,28.23,0
2818,0,28.24,0
2819,1,28.25,0
2819,1,28.29,0
282,1,28.3,0
2821,0,28.3,0
282,1,28.4,0
2822,1,28.41,0
2822,1,28.49,0
282,1,28.9,0
2823,0,28.91,0
2824,0,28.92,0
2825,0,28.93,0
2826,0,28.94,0
2829,1,28.95,0
2829,1,28.96,0
2829,1,28.99,0
29,0,29,0
291,0,29.1,0
2910,0,29.1,0
292,0,29.2,0
2920,0,29.2,0
293,0,29.3,0
2930,1,29.31,0
2930,1,29.32,0
30,0,30,0
301,0,30.1,0
3011,0,30.11,0
3012,0,30.12,0
302,0,30.2,0
3020,0,30.2,0
303,0,30.3,0
3030,0,30.3,0
304,0,30.4,0
3040,0,30.4,0
309,0,30.9,0
3091,0,30.91,0
3092,0,30.92,0
3099,0,30.99,0
31,0,31,0
310,0,31,0
3100,1,31.01,0
3100,1,31.02,0
3100,1,31.03,0
3100,1,31.09,0
32,0,32,0
321,0,32.1,0
3211,1,32.11,0
3211,1,32.12,0
3212,0,32.13,0
322,0,32.2,0
3220,0,32.2,0
323,0,32.3,0
3230,0,32.3,0
324,0,32.4,0
3240,0,32.4,0
325,0,32.5,0
3250,0,32.5,0
329,0,32.9,0
3290,1,32.91,0
3290,1,32.99,0
33,0,33,0
331,0,33.1,0
3311,0,33.11,0
3312,0,33.12,0
3313,0,33.13,0
3314,0,33.14,0
3315,1,33.15,0
3315,1,33.16,0
3315,1,33.17,0
3319,0,33.19,0
332,0,33.2,0
3320,0,33.2,0
D,0,D,0
35,0,35,0
351,0,35.1,0
3510,1,35.11,0
3510,1,35.12,0
3510,1,35.13,0
3510,1,35.14,0
352,0,35.2,0
3520,1,35.21,0
3520,1,35.22,0
3520,1,35.23,0
353,0,35.3,0
3530,0,35.3,0
E,0,E,0
36,0,36,0
360,0,36,0
3600,0,36,0
37,0,37,0
370,0,37,0
3700,0,37,0
38,0,38,0
381,0,38.1,0
3811,0,38.11,0
3812,0,38.12,0
382,0,38.2,0
3821,0,38.21,0
