hsut product name,hiot product name,predicate
Secondary glass for treatment; Re-processing of secondary glass into new glass,"Secondary glass for treatment, Re-processing of secondary glass into new glass",OWL.SameAs
Ceramic goods,Ceramic goods,OWL.SameAs
Bricks; tiles and construction products; in baked clay,"Bricks, tiles and construction products, in baked clay",OWL.SameAs
Cement; lime and plaster,"Cement, lime and plaster",OWL.SameAs
Ash for treatment; Re-processing of ash into clinker,"Ash for treatment, Re-processing of ash into clinker",OWL.SameAs
Other non-metallic mineral products,Other non-metallic mineral products,OWL.SameAs
Basic iron and steel and of ferro-alloys and first products thereof,Basic iron and steel and of ferro-alloys and first products thereof,OWL.SameAs
Secondary steel for treatment; Re-processing of secondary steel into new steel,"Secondary steel for treatment, Re-processing of secondary steel into new steel",OWL.SameAs
Precious metals,Precious metals,OWL.SameAs
Secondary preciuos metals for treatment; Re-processing of secondary preciuos metals into new preciuos metals,"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",OWL.SameAs
Aluminium and aluminium products,Aluminium and aluminium products,OWL.SameAs
Secondary aluminium for treatment; Re-processing of secondary aluminium into new aluminium,"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",OWL.SameAs
Lead; zinc and tin and products thereof,"Lead, zinc and tin and products thereof",OWL.SameAs
Secondary lead for treatment; Re-processing of secondary lead into new lead,"Secondary lead for treatment, Re-processing of secondary lead into new lead",OWL.SameAs
Copper products,Copper products,OWL.SameAs
Secondary copper for treatment; Re-processing of secondary copper into new copper,"Secondary copper for treatment, Re-processing of secondary copper into new copper",OWL.SameAs
Other non-ferrous metal products,Other non-ferrous metal products,OWL.SameAs
Secondary other non-ferrous metals for treatment; Re-processing of secondary other non-ferrous metals into new other non-ferrous metals,"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",OWL.SameAs
Foundry work services,Foundry work services,OWL.SameAs
Fabricated metal products; except machinery and equipment (28),"Fabricated metal products, except machinery and equipment (28)",OWL.SameAs
Machinery and equipment n.e.c. (29),Machinery and equipment n.e.c. (29),OWL.SameAs
Office machinery and computers (30),Office machinery and computers (30),OWL.SameAs
Electrical machinery and apparatus n.e.c. (31),Electrical machinery and apparatus n.e.c. (31),OWL.SameAs
Radio; television and communication equipment and apparatus (32),"Radio, television and communication equipment and apparatus (32)",OWL.SameAs
Medical; precision and optical instruments; watches and clocks (33),"Medical, precision and optical instruments, watches and clocks (33)",OWL.SameAs
Motor vehicles; trailers and semi-trailers (34),"Motor vehicles, trailers and semi-trailers (34)",OWL.SameAs
Other transport equipment (35),Other transport equipment (35),OWL.SameAs
Furniture; other manufactured goods n.e.c. (36),Furniture; other manufactured goods n.e.c. (36),OWL.SameAs
Secondary raw materials,Secondary raw materials,OWL.SameAs
Bottles for treatment; Recycling of bottles by direct reuse,"Bottles for treatment, Recycling of bottles by direct reuse",OWL.SameAs
Electricity by coal,Electricity by coal,OWL.SameAs
Electricity by gas,Electricity by gas,OWL.SameAs
Electricity by nuclear,Electricity by nuclear,OWL.SameAs
Electricity by hydro,Electricity by hydro,OWL.SameAs
Electricity by wind,Electricity by wind,OWL.SameAs
Electricity by petroleum and other oil derivatives,Electricity by petroleum and other oil derivatives,OWL.SameAs
Electricity by biomass and waste,Electricity by biomass and waste,OWL.SameAs
Electricity by solar photovoltaic,Electricity by solar photovoltaic,OWL.SameAs
Electricity by solar thermal,Electricity by solar thermal,OWL.SameAs
Electricity by tide; wave; ocean,"Electricity by tide, wave, ocean",OWL.SameAs
Electricity by Geothermal,Electricity by Geothermal,OWL.SameAs
Electricity nec,Electricity nec,OWL.SameAs
Transmission services of electricity,Transmission services of electricity,OWL.SameAs
Distribution and trade services of electricity,Distribution and trade services of electricity,OWL.SameAs
Coke oven gas,Biogas an other gases nec.,rdfs:subClassOf
Blast Furnace Gas,Biogas an other gases nec.,rdfs:subClassOf
Oxygen Steel Furnace Gas,Biogas an other gases nec.,rdfs:subClassOf
Gas Works Gas,Biogas an other gases nec.,rdfs:subClassOf
Biogas,Biogas an other gases nec.,rdfs:subClassOf
Distribution services of gaseous fuels through mains,Distribution services of gaseous fuels through mains,OWL.SameAs
Steam and hot water supply services,Steam and hot water supply services,OWL.SameAs
Collected and purified water; distribution services of water (41),"Collected and purified water, distribution services of water (41)",OWL.SameAs
Construction work (45),Construction work (45),OWL.SameAs
Secondary construction material for treatment; Re-processing of secondary construction material into aggregates,"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates",OWL.SameAs
Sale; maintenance; repair of motor vehicles; motor vehicles parts; motorcycles; motor cycles parts and accessoiries,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",OWL.SameAs
Retail trade services of motor fuel,Retail trade services of motor fuel,OWL.SameAs
Wholesale trade and commission trade services; except of motor vehicles and motorcycles (51),"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",OWL.SameAs
Retail  trade services; except of motor vehicles and motorcycles; repair services of personal and household goods (52),"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",OWL.SameAs
Hotel and restaurant services (55),Hotel and restaurant services (55),OWL.SameAs
Railway transportation services,Railway transportation services,OWL.SameAs
Other land transportation services,Other land transportation services,OWL.SameAs
Transportation services via pipelines,Transportation services via pipelines,OWL.SameAs
